ID,Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Engine,Power,Seats,Mileage
256,Toyota,Innova Crysta 2.4 ZX MT,2017,43000,Diesel,Manual,1,2393,147.8,7,13.68
257,Maruti,Omni MPI CARGO BSIII W/ IMMOBILISER,2011,35000,Petrol,Manual,3,796,35,5,19.7
258,Maruti,Swift VXI BSIV,2017,27872,Petrol,Manual,2,1197,81.8,5,20.4
259,Hyundai,Grand i10 Magna,2014,16514,Petrol,Manual,1,1197,82,5,18.9
260,Maruti,Swift VDI,2012,120000,Diesel,Manual,1,1248,74,5,22.9
261,Hyundai,Verna CRDi 1.6 SX,2008,143275,Diesel,Manual,1,1582,126.2,5,22
262,Hyundai,Santro Xing XL,2006,99000,Petrol,Manual,1,1086,,5,0
263,Hyundai,i20 1.2 Sportz,2010,52000,Petrol,Manual,1,1197,80,5,17
264,Mercedes-Benz,GLE 350d,2017,29819,Diesel,Automatic,1,2987,254.79,5,11.57
265,Mercedes-Benz,New C-Class C 220 CDI CLASSIC,2014,57000,Diesel,Manual,2,2148,170,5,15.8
266,Maruti,Ritz ZDi,2014,88500,Diesel,Manual,1,1248,73.94,5,23.2
267,Hyundai,Creta 1.6 CRDi SX,2016,28000,Diesel,Manual,1,1582,126.2,5,19.67
268,Maruti,A-Star Vxi,2010,67000,Petrol,Manual,1,998,66.1,5,19
269,Renault,Duster 110PS Diesel RXZ Option,2016,26000,Diesel,Manual,1,1461,108.45,5,19.64
270,Fiat,Grande Punto 1.3 Emotion Pack (Diesel),2010,120000,Diesel,Manual,1,1248,76,5,17.8
271,BMW,X3 xDrive30d M Sport,2017,51982,Diesel,Automatic,1,2993,258,5,16.55
272,Hyundai,i10 Sportz,2010,36000,Petrol,Manual,2,1197,78.9,5,20.36
273,Toyota,Innova 2.5 G4 Diesel 7-seater,2016,47000,Diesel,Manual,1,2494,102,7,12.8
274,Maruti,Zen VXI BSII,2002,60000,Petrol,Manual,3,993,60,5,17.3
